FILENAME	t1_1	t1_2	t1_3	t1_4	t1_5	t1_6	t1_7	t1_h4	t1_h7	t1_2	t1_3	t1_	t2_1	t2_2	t2_3	t2_4	t2_5	t2_6	t2_7	t2_h7	t2_3	t3_1	t3_2	t3_3	t3_4	t3_5	t3_6	t3_7	t3_h4	t3_1	t3_2	t3_3	t3_	t4_1	t4_2	t4_3	t4_4	t4_5	t4_6	t4_7	t4_6	t4_	t5_1	t5_2	t5_3	t5_4	t5_5	t5_6	t5_7	t5_F4	t5_h4	t5_h7	t5_4	t5_6	t5_	t6_1	t6_2	t6_3	t6_4	t6_5	t6_6	t6_7	t6_F4	t6_b	t6_6	t6_	t7_1	t7_2	t7_3	t7_4	t7_5	t7_6	t7_7	t7_h4	t7_7	tF4_1	tF4_6	tb_4	th4_3	th4_5	th4_6	th4_h4	th7_1	th7_5	th7_7	th7_h7	t1_1	t4_4	t7_5	t2_2	t2_4	t2_2	t2_1	t3_2	t3_4	t3_5	t3_3	t6_1	t6_6	t6_6	t6_1	t1_1	t1_3	t_3	t_4	t_5	t_6	t_7
Hansadhvani_D2T14txtdeg	25	375	125	125	25	0	125	0	0	0	0	0	0	0	875	0	25	0	375	0	0	0	1125	5	0	875	0	0	0	0	0	0	0	125	0	0	0	125	0	0	0	0	625	0	875	125	5	0	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	125	0	75	0	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hindol_D2T15txtdeg	10084	0	10924	0	0	8403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8403	0	5042	7563	0	1681	0	0	0	0	0	0	2521	0	6723	5882	0	5042	1681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8403	0	0	7563	0	8403	0	0	0	0	0	0	0	0	084	0	084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jaijaivanti_D2T16txtdeg	3911	1676	0559	0	1117	0	3352	0	0	0	0	0	1676	10615	5028	0	0	0	3911	0	0	0559	3911	2793	6704	0559	0	0	0	0	0	0	0	0	1676	5028	2235	2235	0	1117	0	0	0559	1117	1117	2793	4469	2793	1117	0	0	0	0	0	0	0	0559	0	0559	3352	3911	3352	0	0	0	0	3352	2235	0	0	2235	5028	2793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jhinjhoti_D2T18txtdeg	3365	3846	1442	0	0962	0962	2885	0	0	0	0	0	5769	0962	3365	2885	0	0	0481	0	0	0962	7212	1923	1442	0	0	0	0	0	0	0	0	0	0481	4327	2404	2885	0481	0	0	0	0	0	0	2404	2885	7692	1442	0481	0	0	0	0	0	3365	0962	0481	1442	625	5288	3846	0	0	0	0	0481	0	0	0	1923	625	5288	0	0	0	0481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jog_D3T1txtdeg	1266	0	12658	0422	0422	0	6329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6329	0	3376	1097	0844	0	1688	0	0	0	0	0	2532	0	2954	1688	7173	0	1266	0	0422	1688	0	2954	2954	3376	0	8439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9705	0	1266	0	6751	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0422	0	0
Jogiya_D3T2txtdeg	6494	1299	0	0	0	0	7792	0	0	2597	0	0	3896	1299	0	1299	0	0	0	0	0	0	2597	2597	6494	0	0	0	0	0	0	0	0	0	0	6494	2597	7792	0	0	0	1299	0	0	0	5195	7792	3896	0	0	0	0	0	1299	0	1299	0	1299	1299	2597	5195	0	0	0	0	0	5195	0	0	0	0	2597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1299	1299	1299	0	0	0	0	0	1299	0	1299	0	0	0	1299	0	0	0	0
Kafi_D3T3txtdeg	3061	2041	0	102	0	102	6122	0	0	0	0	0	3061	3061	3061	7143	0	0	0	0	0	0	7143	0	102	0	0	0	0	0	0	0	0	0	3061	3061	3061	6122	102	0	0	0	2041	102	102	4082	102	4082	102	0	0	0	0	0	0	3061	0	0	0	8163	4082	3061	0	0	0	0	102	0	102	0	0	8163	3061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kamod_D3T4txtdeg	0962	3846	0	0962	0962	0962	1923	0	0	0	0	0962	5769	2885	0	0962	3846	0	0962	0	0	0	0	5769	6731	0	0	0	0	0	0	0	0	0	6731	0	0	4808	2885	0	0	0	1923	0	6731	4808	13462	1923	0	0	0	0	0	0	0	0	0	0	0	5769	2885	2885	0	0	0	0	2885	0962	0	0	0	2885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0962
Kedar_D3T5txtdeg	5618	2247	0	2247	1124	2247	4494	0	0	0	0	0	3371	2247	0	0	0	0	1124	0	0	0	1124	0	2247	0	1124	0	0	0	0	0	0	0	1124	4494	3371	4494	3371	1124	0	0	1124	0	0	10112	11236	3371	0	0	0	0	0	0	0	2247	0	0	0	8989	5618	1124	0	0	0	0	5618	0	0	0	0	2247	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khamaj_D3T6txtdeg	2326	0	3101	0	0775	0	5426	0	0	0	0	0	0	0775	155	0	0	0	0	0	0	0	155	6977	8527	155	0	2326	0	0	0	0	0	0	0	6977	0775	3101	0775	0775	0	0	0	0	155	0775	2326	10078	0775	0	0	0	0	0	0	155	0	0775	2326	5426	3876	6202	0	0	0	0	7752	0	0	0	2326	5426	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kirvani_D3T7txtdeg	6818	5682	2273	0	1136	2273	2273	0	0	0	0	0	4545	3409	9091	0	0	0	2273	0	0	2273	9091	0	2273	2273	0	0	0	0	0	0	0	0	1136	2273	0	3409	0	0	0	0	1136	0	2273	2273	1136	4545	1136	0	0	0	0	0	0	1136	0	0	1136	4545	4545	3409	0	0	0	0	4545	0	0	1136	0	3409	1136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lalit_D3T8txtdeg	11236	2247	0	0	0	0	1124	0	0	0	0	0	2247	2247	3371	0	0	0	3371	0	0	0	3371	3371	10112	0	0	0	0	0	0	0	0	0	0	10112	22472	0	5618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1124	0	0	5618	0	3371	1124	0	0	0	0	1124	3371	0	0	0	2247	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Madhuvanti_D3T9txtdeg	3125	0	0	625	0	0	625	0	0	0	0	0	625	625	0	0	0	0	0	0	0	3125	3125	0	3125	3125	0	0	0	0	0	0	3125	0	0	125	125	625	0	0	0	0	0	0	0	9375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3125	3125	0	0	0	0	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3125	0	0	0	0
Manj_khamaj_D3T11txtdeg	3636	4545	0	0	0	1818	3636	0	0	0	0	0	5455	0	4545	0909	0	0	0	0	0	0	5455	0	0909	6364	0	0	0	0	0	0	0	0	0	6364	0	2727	0	0	0	0	0	0	0909	6364	0909	9091	0909	0	0	0	0	0	0	0	0	1818	0909	7273	4545	7273	0	0	0	0	3636	0909	0	0	0909	6364	1818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maru_bihag_D3T12txtdeg	0	6977	6977	2326	0	0	4651	0	0	0	0	0	11628	2326	0	0	0	0	0	0	0	2326	4651	4651	6977	0	0	2326	0	0	0	0	0	0	0	9302	2326	6977	0	0	0	0	0	0	0	4651	2326	0	2326	0	0	0	0	0	2326	0	0	0	0	0	0	0	0	0	0	0	9302	0	0	0	0	0	2326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2326	0	0	0
Marva_D3T13txtdeg	1538	1538	0	0	0	0	1538	0	0	0	0	0	4615	1538	4615	0	0	3077	6154	0	0	0	7692	1538	6154	0	0	0	0	0	0	0	0	0	0	7692	9231	0	6154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1538	6154	0	3077	6154	0	0	0	0	0	9231	0	1538	0	4615	4615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megh_D3T14txtdeg	4688	3125	0	3125	0	0	7813	0	0	0	0	0	9375	125	0	0	4688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4688	0	1563	3125	0	1563	0	0	1563	625	0	625	14063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3125	0	0	0	625	0	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Miyan_ki_malhar_D3T15txtdeg	2381	4762	0	119	119	119	4762	0	0	0	0	0	5952	119	0	2381	3571	0	119	0	0	0	2381	0	7143	0	0	0	0	0	0	0	0	0	4762	9524	5952	2381	0	0	0	0	0	0	0	3571	119	0	3571	0	0	0	0	0	0	0	0	0	0	0	0	7143	0	0	0	0	7143	119	0	2381	0	5952	5952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Miyan_ki_todi_D3T16txtdeg	2817	5634	1408	0	0	0	4225	0	0	0	0	0	5634	9859	9859	0	0	0	0	0	0	1408	8451	2817	7042	0	0	0	0	0	0	0	0	0	1408	4225	2817	0	5634	0	0	0	0	0	0	2817	1408	0	0	0	0	0	0	0	0	0	0	1408	1408	2817	2817	4225	0	0	0	0	4225	0	0	0	0	4225	1408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
